,seed,perturbation,base_reward,perturbed_reward
38,3,0.002154434690031882,2065.951219589433,1561.4140427260347
39,3,0.01,2065.951219589433,2129.554741180328
40,4,1e-08,2089.9882658727993,2089.992808930927
41,4,4.641588833612782e-08,2089.9882658727993,2089.054645500051
42,4,2.1544346900318822e-07,2089.9882658727993,2089.1251671440173
43,4,1e-06,2089.9882658727993,2086.6523354435844
44,4,4.641588833612773e-06,2089.9882658727993,2069.571381692652
45,4,2.1544346900318823e-05,2089.9882658727993,2083.393873259691
46,4,0.0001,2089.9882658727993,1819.5525402015662
47,4,0.00046415888336127724,2089.9882658727993,1551.9523910613236
48,4,0.002154434690031882,2089.9882658727993,2506.43114085239
49,4,0.01,2089.9882658727993,1564.0057050358312
50,5,1e-08,2059.418378019577,2059.4179625308234
51,5,4.641588833612782e-08,2059.418378019577,2059.416449402874
52,5,2.1544346900318822e-07,2059.418378019577,2079.1780482982876
53,5,1e-06,2059.418378019577,2072.7691711519724
54,5,4.641588833612773e-06,2059.418378019577,2998.8880176451034
55,5,2.1544346900318823e-05,2059.418378019577,1817.711633594802
56,5,0.0001,2059.418378019577,1817.7040584636106
57,5,0.00046415888336127724,2059.418378019577,1832.8083795732946
58,5,0.002154434690031882,2059.418378019577,1781.398465844937
59,5,0.01,2059.418378019577,1810.0036116653812
60,6,1e-08,1557.1236372630178,1557.1235817684405
61,6,4.641588833612782e-08,1557.1236372630178,1557.1233796781232
62,6,2.1544346900318822e-07,1557.1236372630178,1557.1224416304296
63,6,1e-06,1557.1236372630178,1557.1180869999187
64,6,4.641588833612773e-06,1557.1236372630178,1557.097861707866
65,6,2.1544346900318823e-05,1557.1236372630178,1557.0026862194832
66,6,0.0001,1557.1236372630178,1559.4693492455256
67,6,0.00046415888336127724,1557.1236372630178,1563.0749048349612
68,6,0.002154434690031882,1557.1236372630178,1560.7448526442338
69,6,0.01,1557.1236372630178,1849.6130776505936
70,7,1e-08,2108.338422540695,2108.3379007490944
71,7,4.641588833612782e-08,2108.338422540695,2107.3935427631127
72,7,2.1544346900318822e-07,2108.338422540695,2107.3538013154134
73,7,1e-06,2108.338422540695,2103.1057263001594
74,7,4.641588833612773e-06,2108.338422540695,2091.374058247784
75,7,2.1544346900318823e-05,2108.338422540695,1823.4962065530963
76,7,0.0001,2108.338422540695,2100.2349736000156
77,7,0.00046415888336127724,2108.338422540695,1805.2701104616087
78,7,0.002154434690031882,2108.338422540695,1803.3965113390243
79,7,0.01,2108.338422540695,1804.736303791189
80,8,1e-08,2116.5221174867247,2116.5263331552082
81,8,4.641588833612782e-08,2116.5221174867247,2117.9228438498353
82,8,2.1544346900318822e-07,2116.5221174867247,2119.1957908189606
83,8,1e-06,2116.5221174867247,2123.1107660514463
84,8,4.641588833612773e-06,2116.5221174867247,2104.832284883087
85,8,2.1544346900318823e-05,2116.5221174867247,2867.4616943660967
86,8,0.0001,2116.5221174867247,2402.5146370677935
87,8,0.00046415888336127724,2116.5221174867247,1825.6151618422232
88,8,0.002154434690031882,2116.5221174867247,1822.4911141871385
89,8,0.01,2116.5221174867247,2098.416226763785
90,9,1e-08,1553.3682664335986,1553.3683132770052
91,9,4.641588833612782e-08,1553.3682664335986,1553.3684843438677
92,9,2.1544346900318822e-07,1553.3682664335986,1553.3692882945306
93,9,1e-06,1553.3682664335986,1553.3732334727815
94,9,4.641588833612773e-06,1553.3682664335986,1553.3913235677671
95,9,2.1544346900318823e-05,1553.3682664335986,1553.6175212185005
96,9,0.0001,1553.3682664335986,1557.6000820087138
97,9,0.00046415888336127724,1553.3682664335986,1554.7712616971119
98,9,0.002154434690031882,1553.3682664335986,1554.6179721741235
99,9,0.01,1553.3682664335986,1874.5505941661058
100,10,1e-08,2413.637775404639,2199.6479385718812
101,10,4.641588833612782e-08,2413.637775404639,2199.6577710843867
102,10,2.1544346900318822e-07,2413.637775404639,1799.892318831419
103,10,1e-06,2413.637775404639,1801.6678797765219
104,10,4.641588833612773e-06,2413.637775404639,1795.73711901557
105,10,2.1544346900318823e-05,2413.637775404639,1794.1815511757177
106,10,0.0001,2413.637775404639,1978.750239149424
107,10,0.00046415888336127724,2413.637775404639,2124.342669924779
108,10,0.002154434690031882,2413.637775404639,2096.189350924209
109,10,0.01,2413.637775404639,1551.709108422558
110,11,1e-08,2376.99682444227,2386.9272132370234
111,11,4.641588833612782e-08,2376.99682444227,2381.479931851796
112,11,2.1544346900318822e-07,2376.99682444227,2380.9045623350676
113,11,1e-06,2376.99682444227,2393.6877262675857
114,11,4.641588833612773e-06,2376.99682444227,2364.7709246646236
115,11,2.1544346900318823e-05,2376.99682444227,2379.2763066112275
116,11,0.0001,2376.99682444227,2089.9864268106603
117,11,0.00046415888336127724,2376.99682444227,2095.7073026320136
118,11,0.002154434690031882,2376.99682444227,2108.2869650698367
119,11,0.01,2376.99682444227,1781.9572596492462
120,12,1e-08,2174.242775726147,2174.224247152024
121,12,4.641588833612782e-08,2174.242775726147,2171.7636770695854
122,12,2.1544346900318822e-07,2174.242775726147,2178.6421192287335
123,12,1e-06,2174.242775726147,2120.4692400079452
124,12,4.641588833612773e-06,2174.242775726147,2691.0542898083595
125,12,2.1544346900318823e-05,2174.242775726147,2389.2013756851247
126,12,0.0001,2174.242775726147,3077.355816921318
127,12,0.00046415888336127724,2174.242775726147,2121.6384147668264
128,12,0.002154434690031882,2174.242775726147,2367.808153561295
129,12,0.01,2174.242775726147,2065.486686480753
130,13,1e-08,1556.9927481391135,1556.9927232715806
131,13,4.641588833612782e-08,1556.9927481391135,1556.9926327120104
132,13,2.1544346900318822e-07,1556.9927481391135,1556.9922123272675
133,13,1e-06,1556.9927481391135,1556.9902601221424
134,13,4.641588833612773e-06,1556.9927481391135,1560.752467414248
135,13,2.1544346900318823e-05,1556.9927481391135,2273.8096076755714
136,13,0.0001,1556.9927481391135,1554.2984722310803
137,13,0.00046415888336127724,1556.9927481391135,1556.4395263092129
138,13,0.002154434690031882,1556.9927481391135,1826.0470554384167
139,13,0.01,1556.9927481391135,2105.737508111082
140,14,1e-08,1824.3761623230928,1824.384082452697
141,14,4.641588833612782e-08,1824.3761623230928,1824.413299787068
